ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000185313	1.0474563622343365	-2.709175780754034	2.04113442780067	-1.3272892484955932	0.18441301901589358	0.28825349187161353
ENSG00000204532	3.3467467401028803	1.1768024749830281	0.8869199042627178	1.3268418820313712	0.18456099281657315	0.2884585092682421
ENSG00000042813	2.198300873756164	-1.7290923053912697	1.3034382875732622	-1.3265624631991508	0.18465345975602795	0.28857674309991144
ENSG00000129932	292.2276314783081	0.17317045197814246	0.13056022022778999	1.32636458238206	0.1847189643859203	0.2886528224894008
ENSG00000146648	1.482965366044849	-2.4911639063936355	1.8783041675045355	-1.3262835431512292	0.18474579582383358	0.28866846049952977
ENSG00000258839	4.746948437785514	1.382904086770134	1.0427682315223012	1.3261854791560732	0.1847782678808604	0.28869290842285583
ENSG00000170324	0.9448701983982748	-3.3011175481824577	2.489699597646715	-1.3259099817916593	0.1848695162773871	0.28880917420444396
ENSG00000013275	1891.5408525328853	0.3002364313132658	0.22646651369006326	1.3257431592034938	0.1849247863457164	0.2888692174180446
ENSG00000198522	1219.8991091435878	0.20281815641980405	0.15317087173316843	1.324130065493939	0.18545985196314085	0.2896786654513947
ENSG00000176771	7.431377586693626	-1.1819814493896077	0.8927212805101409	-1.324020694022406	0.18549617204930086	0.28970902239412927
ENSG00000163884	9.096040665730007	0.6656267456117322	0.5033633118534854	1.3223584833005808	0.18604880671665106	0.29054568359372884
ENSG00000156414	2.4035980893186553	-1.2098277772095805	0.9150560993670113	-1.3221350888174803	0.18612317128216824	0.2906224210089691
ENSG00000172461	1.3459256389283012	-1.9175239754232696	1.4503522911706865	-1.3221091090051607	0.18613182098540398	0.2906224210089691
ENSG00000249471	107.25760920754067	0.26431607769349685	0.2000296626857788	1.321384409414837	0.18637322178639656	0.2909728607289347
ENSG00000132000	1.2141358731280245	1.9539298135169694	1.4788532047051042	1.3212466303622066	0.18641914279107136	0.2910180740614323
ENSG00000124772	943.9934882292683	-1.1310837237364944	0.8561090017562697	-1.321191251833734	0.18643760250714303	0.29102041337496
ENSG00000103064	107.94543690973013	0.43280800047102475	0.3276402707772459	1.320985358253716	0.18650624631485224	0.29110108016649094
ENSG00000213889	4.128624407033996	1.1325602174620133	0.8575456242967763	1.320699663520248	0.18660152632731877	0.2912055182578043
ENSG00000244694	1.581491176509736	-2.6002785954445	1.968919990742751	-1.3206623974921279	0.18661395730543776	0.2912055182578043
ENSG00000057663	885.3099647998847	0.2462752068764985	0.18648283114141365	1.3206320676767456	0.18662407499491873	0.2912055182578043
ENSG00000181585	3.2518560446231253	-1.5893894855615458	1.2039107567248222	-1.320188790309839	0.1867719936489097	0.2913905856134341
ENSG00000221866	3.7238510149683806	-1.5280233281895603	1.1574401064467863	-1.320174858015266	0.1867766441646199	0.2913905856134341
ENSG00000097096	3.5693135043561988	1.3151939100100256	0.9964196093818753	1.3199197382575605	0.18686181672218824	0.2914969589343855
ENSG00000215529	1.101144284728078	-2.0209328502116284	1.5314629323192266	-1.319609379739381	0.18696546959388746	0.2916321388447201
ENSG00000258102	259.69470637337764	-0.19134498402388544	0.14502098058029816	-1.3194296663711886	0.1870255092899939	0.29169845895374924
ENSG00000007944	300.2778148295095	-0.4338136111580305	0.32880102568490127	-1.3193803463793499	0.18704198889201243	0.29169845895374924
ENSG00000108061	2472.079459202824	-0.3339528292897786	0.2531859068375405	-1.3190024415697952	0.18716829621671127	0.2918689108866974
ENSG00000242372	1094.7679508064411	0.2196060409180313	0.16653209569910354	1.3187009987241363	0.18726909276902823	0.291999554137676
ENSG00000178662	2.5264777179777558	-2.06240170059395	1.5651721383300616	-1.3176836273065788	0.18760957765283606	0.2925038739997602
ENSG00000187097	121.2332909121858	0.2840210354368124	0.21555880807958758	1.317603478916749	0.18763642041369524	0.29251914423570624
ENSG00000112851	1820.1924456525196	0.14755718648868602	0.11208107484214817	1.3165218721938685	0.18799894219485422	0.2930576769491513
ENSG00000064607	441.34094529607574	-0.1340086359539924	0.10179523817879067	-1.3164528945707943	0.18802207892214476	0.29306711756414966
ENSG00000167113	289.2982557770871	0.2549127990214487	0.19368424513267105	1.31612562935533	0.188131880054145	0.29321162666627487
ENSG00000173039	2044.517258653171	0.21842849548149626	0.16598525392337085	1.315951208426843	0.188190419545674	0.2932762233028769
ENSG00000115839	916.7915583324602	0.2526152957933364	0.19203955045008517	1.3154336968675422	0.18836418687250478	0.29352036312400664
ENSG00000108774	3.5004576051806287	1.1648226368347387	0.8855549983882595	1.3153588867487123	0.18838931601176737	0.29353286270703816
ENSG00000086548	11.10422659020214	0.6174451007066544	0.4695133401510152	1.315074669674046	0.18848480866896805	0.2936549847582088
ENSG00000182326	3.627317534627152	-2.002334298683345	1.5229437249368583	-1.3147789152658036	0.18858421559834576	0.2937831824256779
ENSG00000167173	453.2160139695555	-0.35010203591782596	0.26635995332754914	-1.3143944183204492	0.18871350786104024	0.29395790902221774
ENSG00000134255	1754.3926359452132	0.15296489054861498	0.11638535399237386	1.3142967332353346	0.18874636619429558	0.2939824029740127
ENSG00000132854	2.4314116699897284	-1.3404698843063712	1.0206826810411096	-1.31330717097999	0.18907946313849194	0.2944744874766492
ENSG00000105976	3.8793339383449923	-1.100630762343746	0.8383054937870348	-1.3129232368162826	0.18920881599237596	0.29464919811192475
ENSG00000143341	6.4389518847251495	-0.9135941673696972	0.6959100171469034	-1.3128050248726937	0.18924865640063812	0.2946844946476222
ENSG00000053747	2.736634691885714	-1.462138983459395	1.114164783891934	-1.3123184331423026	0.18941271520779726	0.2948864320420457
ENSG00000163945	301.36837199240927	0.48571562986602373	0.37011847865758135	1.312324722688024	0.18941059396205337	0.2948864320420457
ENSG00000105679	75.61767803784896	0.46069469971192056	0.3511954267939464	1.3117901446427993	0.18959095110931612	0.2951371383717697
ENSG00000148672	2907.3960417708836	-0.14102053830859462	0.10754757342884967	-1.3112386808233258	0.18977713779591834	0.29540017511588196
ENSG00000113555	9.606153416916921	0.9686633603606822	0.7388124978039796	1.3111085197393157	0.18982110277266795	0.2954418070912043
ENSG00000197410	2.3651380169650493	-1.1943538308397799	0.9110636592807765	-1.3109444314600824	0.18987653815218186	0.29550128268618014
ENSG00000241128	0.8629350848263148	-3.1745912947701584	2.422175778221605	-1.3106362153043192	0.18998069775398432	0.2956365692057739
ENSG00000116406	500.46817742497404	0.3096832143231087	0.23638731111164288	1.3100669949955521	0.19017317261201158	0.2959092496306243
ENSG00000158042	658.790892725182	0.1366567329625939	0.10432387783366366	1.3099276579852837	0.1902203095850474	0.2959289211950533
ENSG00000166803	0.8232311164163488	2.4053362647003014	1.8361693776959067	1.3099751547532104	0.19020424071329498	0.2959289211950533
ENSG00000029639	323.8181871499255	-0.22869697132844238	0.1745965269042176	-1.3098597972335608	0.1902432696338162	0.2959378078310987
ENSG00000204176	9.54671758685108	-0.940078467373804	0.7177654454220562	-1.3097293459439587	0.19028741233678906	0.29597964109098235
ENSG00000147394	47.557363518495436	-0.9432700707921535	0.7202656916572605	-1.3096140517560706	0.1903264323894885	0.29601349954122946
ENSG00000230054	9.275156924094615	-0.8900639574802404	0.679967526720332	-1.3089800946425494	0.19054109349996606	0.29632050052319564
ENSG00000182885	0.8573264583641997	-3.174543756366434	2.425458639092959	-1.308842668021586	0.19058765035500658	0.2963533103716788
ENSG00000118997	8.091862690849116	-0.9219170392168367	0.7043901828620674	-1.308815854688544	0.1905967350478771	0.2963533103716788
ENSG00000103494	60.36581819263709	-0.4749720266679754	0.3629195574257837	-1.3087529094243047	0.190618062944049	0.29635961616473294
ENSG00000188385	1.4433971917299766	-2.538367814023176	1.9402683385769046	-1.3082560610585179	0.19078647295394954	0.2965445019894899
ENSG00000182400	363.16401799180466	0.17499854727369946	0.1337654627727205	1.3082491074025413	0.19078883071814773	0.2965445019894899
ENSG00000157765	1.3834182145837757	-1.861258711419226	1.4226424862902234	-1.3083109279779541	0.19076787007403265	0.2965445019894899
ENSG00000140950	170.3006560360562	0.32112886376597216	0.24549301292409195	1.3080977741116702	0.1908401483503756	0.2965973972278754
ENSG00000198453	16.046305568856113	-0.4944369803009131	0.37803172403380814	-1.3079245705228024	0.19089889474315555	0.2966618273709866
ENSG00000115339	226.3625453820184	0.9559029103370824	0.7309152883265952	1.3078162758444805	0.19093563239409325	0.2966920467866195
ENSG00000205765	825.4865888188795	0.3324988927731047	0.254421734946353	1.306880848223187	0.19125318145076453	0.2971585698933458
ENSG00000196865	490.52401517830236	-0.24307792418936258	0.18606680082506863	-1.3064013736544713	0.19141609896312223	0.29738477236592276
ENSG00000154027	5.669737743288552	-1.2623046543275813	0.9663326275231067	-1.3062837974984938	0.19145606497668166	0.29739927582299003
ENSG00000198498	409.0652068220423	-0.2105967860231998	0.1612197136517633	-1.3062719270057237	0.19146010028795593	0.29739927582299003
